active,airtable_categories,environment,sequence_prefix,obj,light_name,light_sublevel_suffix,camera,default_location,default_rotation,shadow_location,shadow_rotation,default_intensity,default_InnerConeAngle,default_OuterConeAngle,shadow_intensity,shadow_InnerConeAngle,shadow_OuterConeAngle,default_x,default_y,default_z,default_pitch,default_yaw,default_roll,shadow_x,shadow_y,shadow_z,shadow_pitch,shadow_yaw,shadow_roll
TRUE,Sofas,Indoor,,,front_fill_lgt,Background,F,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,6,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Indoor,,,front_fill_lgt,Background,TQ,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,8,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Indoor,,,front_fill_lgt,Background,P,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,4,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Indoor,,,front_fill_lgt,Background,TQB,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,6,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Indoor,,,left_rim_lgt,Background,F,"(X=-292.000000,Y=-200.000000,Z=242.441071)","(Pitch=-43.000000,Yaw=4.000000,Roll=0.382830)",,,60,,,,,,-292,-200,242.441071,-43,4,0.38283,,,,,,
TRUE,Sofas,Indoor,,,left_rim_lgt,Background,TQ,"(X=-292.000000,Y=-200.000000,Z=242.441071)","(Pitch=-43.000000,Yaw=4.000000,Roll=0.382830)",,,15,,,,,,-292,-200,242.441071,-43,4,0.38283,,,,,,
TRUE,Sofas,Indoor,,,left_rim_lgt,Background,P,"(X=-292.000000,Y=-200.000000,Z=242.441071)","(Pitch=-43.000000,Yaw=4.000000,Roll=0.382830)",,,30,,,,,,-292,-200,242.441071,-43,4,0.38283,,,,,,
TRUE,Sofas,Indoor,,,left_rim_lgt,Background,TQB,"(X=-292.000000,Y=-200.000000,Z=242.441071)","(Pitch=-43.000000,Yaw=4.000000,Roll=0.382830)",,,80,,,,,,-292,-200,242.441071,-43,4,0.38283,,,,,,
TRUE,Sofas,Indoor,,,main_key_lgt,KeyLight,F,"(X=-376.000000,Y=114.000000,Z=190.000000)","(Pitch=-25.000000,Yaw=-11.000000,Roll=0.000000)",,,40,,21.375544,100,45,60,-376,114,190,-25,-11,0,,,,,,
TRUE,Sofas,Indoor,,,main_key_lgt,KeyLight,TQ,"(X=-318.000000,Y=-101.000000,Z=168.000000)","(Pitch=-18.000000,Yaw=27.000000,Roll=-0.000000)",,,65,,31.487537,100,45,60,-318,-101,168,-18,27,0,,,,,,
TRUE,Sofas,Indoor,,,main_key_lgt,KeyLight,P,"(X=-376.000000,Y=209.000000,Z=190.000000)","(Pitch=-25.000000,Yaw=-11.000000,Roll=0.000000)",,,50,,21.375544,100,45,60,-376,209,190,-25,-11,0,,,,,,
TRUE,Sofas,Indoor,,,main_key_lgt,KeyLight,TQB,"(X=-376.000000,Y=6.000000,Z=190.000000)","(Pitch=-25.000000,Yaw=3.000000,Roll=0.000000)",,,15,,21.375544,100,45,60,-376,6,190,-25,3,0,,,,,,
TRUE,Sofas,Indoor,,,right_bounce_lgt,Background,F,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,0.5,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Indoor,,,right_bounce_lgt,Background,TQ,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,0.5,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Indoor,,,right_bounce_lgt,Background,P,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,0.5,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Indoor,,,right_bounce_lgt,Background,TQB,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,1.5,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Indoor,,,right_rim_lgt,Background,F,"(X=269.000000,Y=6.000000,Z=63.000000)","(Pitch=0.000000,Yaw=180.000000,Roll=0.000000)",,,0.3,,,,,,269,6,63,0,180,0,,,,,,
TRUE,Sofas,Indoor,,,right_rim_lgt,Background,TQ,"(X=349.000000,Y=21.000000,Z=56.000000)","(Pitch=0.000000,Yaw=153.000000,Roll=0.000000)",,,0.6,,,,,,349,21,56,0,153,0,,,,,,
TRUE,Sofas,Indoor,,,right_rim_lgt,Background,P,"(X=257.000000,Y=28.000000,Z=230.000000)","(Pitch=0.000000,Yaw=157.218750,Roll=0.000000)",,,1,,,,,,257,28,230,0,157.21875,0,,,,,,
TRUE,Sofas,Indoor,,,right_rim_lgt,Background,TQB,"(X=277.000000,Y=125.000000,Z=150.000000)","(Pitch=0.000000,Yaw=166.500000,Roll=0.000000)",,,1,,,,,,277,125,150,0,166.5,0,,,,,,
TRUE,Sectionals,Indoor,Sectional_Indoor_R,,key_lgt,KeyLight,F,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-25.913912,Yaw=-13.933297,Roll=4.209608)",,,2.5,,,,,,0,0,161.417541,-25.913912,-13.933297,4.209608,,,,,,
TRUE,Sectionals,Indoor,Sectional_Indoor_R,,key_lgt,KeyLight,FH,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-23.265797,Yaw=-8.445295,Roll=-4.469738)",,,2.3,,,,,,0,0,161.417541,-23.265797,-8.445295,-4.469738,,,,,,
TRUE,Sectionals,Indoor,Sectional_Indoor_R,,key_lgt,KeyLight,TQ,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-45.000000,Yaw=0.000000,Roll=-5.483881)",,,2.3,,,,,,0,0,161.417541,-45,0,-5.483881,,,,,,
TRUE,Sectionals,Indoor,"Sectional_Indoor_L, Sectional_Indoor_U",,key_lgt,KeyLight,F,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-23.265797,Yaw=-8.445295,Roll=-4.469738)",,,2.5,,,,,,0,0,161.417541,-23.265797,-8.445295,-4.469738,,,,,,
TRUE,Sectionals,Indoor,"Sectional_Indoor_L, Sectional_Indoor_U",,key_lgt,KeyLight,FH,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-23.265797,Yaw=-8.445295,Roll=-4.469738)",,,2.3,,,,,,0,0,161.417541,-23.265797,-8.445295,-4.469738,,,,,,
TRUE,Sectionals,Indoor,"Sectional_Indoor_L, Sectional_Indoor_U",,key_lgt,KeyLight,TQ,"(X=-0.000000,Y=-0.000000,Z=161.417541)","(Pitch=-45.000000,Yaw=12.000000,Roll=0.000000)",,,2.3,,,,,,0,0,161.417541,-45,12,0,,,,,,
TRUE,Chairs,Indoor,,,2k_opal,KeyLight,F,"(X=-360.430298,Y=148.237915,Z=181.812012)","(Pitch=-16.033558,Yaw=-22.278521,Roll=0.537296)",,,60,,,,,,-360.430298,148.237915,181.812012,-16.033558,-22.278521,0.537296,,,,,,
TRUE,Chairs,Indoor,,,2k_opal,KeyLight,TQ,"(X=-382.613037,Y=-72.373886,Z=182.000000)","(Pitch=-16.033558,Yaw=9.923452,Roll=0.537296)",,,70,,,,,,-382.613037,-72.373886,182,-16.033558,9.923452,0.537296,,,,,,
TRUE,Chairs,Indoor,,,2k_opal,KeyLight,P,"(X=-367.539551,Y=128.628891,Z=182.000000)","(Pitch=-16.033558,Yaw=-20.076548,Roll=0.537296)",,,60,,,,,,-367.539551,128.628891,182,-16.033558,-20.076548,0.537296,,,,,,
TRUE,Chairs,Indoor,,,2k_opal,KeyLight,TQB,"(X=-367.539551,Y=128.628891,Z=182.000000)","(Pitch=-16.033558,Yaw=-20.076548,Roll=0.537296)",,,60,,,,,,-367.539551,128.628891,182,-16.033558,-20.076548,0.537296,,,,,,
TRUE,Chairs,Indoor,,,2k_opal,KeyLight,DTL,"(X=-367.539551,Y=128.628891,Z=182.000000)","(Pitch=-16.033558,Yaw=-20.076548,Roll=0.537296)",,,60,,,,,,-367.539551,128.628891,182,-16.033558,-20.076548,0.537296,,,,,,
TRUE,Chairs,Indoor,,,front_fill,Background,"F,DTL","(X=0.000000,Y=660.000000,Z=180.000000)","(Pitch=0.000000,Yaw=269.999999,Roll=180.000000)",,,8.75,,,,,,0,660,180,0,269.999999,180,,,,,,
TRUE,Chairs,Indoor,,,front_fill,Background,TQ,"(X=0.000000,Y=660.000000,Z=180.000000)","(Pitch=0.000000,Yaw=269.999999,Roll=180.000000)",,,8.75,,,,,,0,660,180,0,269.999999,180,,,,,,
TRUE,Chairs,Indoor,,,front_fill,Background,P,"(X=0.000000,Y=660.000000,Z=180.000000)","(Pitch=0.000000,Yaw=269.999999,Roll=180.000000)",,,15,,,,,,0,660,180,0,269.999999,180,,,,,,
TRUE,Chairs,Indoor,,,front_fill,Background,TQB,"(X=0.000000,Y=660.000000,Z=180.000000)","(Pitch=0.000000,Yaw=269.999999,Roll=180.000000)",,,8.75,,,,,,0,660,180,0,269.999999,180,,,,,,
TRUE,Chairs,Indoor,,,ultra_bounce,Background,"F,DTL","(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,1,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Chairs,Indoor,,,ultra_bounce,Background,TQ,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,4,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Chairs,Indoor,,,ultra_bounce,Background,P,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,1,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Chairs,Indoor,,,ultra_bounce,Background,TQB,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,4,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Chairs,Indoor,,,sofa_left_arm_light,Background,F,"(X=-76.000000,Y=115.704308,Z=30.000000)","(Pitch=0.000000,Yaw=-130.000000,Roll=0.000000)",,,0.75,,,,,,-76,115.704308,30,0,-130,0,,,,,,
TRUE,Chairs,Indoor,,,sofa_left_arm_light,Background,TQ,"(X=-123.670082,Y=62.202869,Z=30.000000)","(Pitch=0.000000,Yaw=-100.000000,Roll=0.000000)",,,0.75,,,,,,-123.670082,62.202869,30,0,-100,0,,,,,,
TRUE,Chairs,Indoor,,,sofa_left_arm_light,Background,P,"(X=-95.409561,Y=108.937531,Z=50.000000)","(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,-95.409561,108.937531,50,0,-90,0,,,,,,
TRUE,Chairs,Indoor,,,sofa_left_arm_light,Background,TQB,"(X=-95.409561,Y=108.937531,Z=50.000000)","(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,-95.409561,108.937531,50,0,-90,0,,,,,,
TRUE,Chairs,Indoor,,,sofa_left_arm_light,Background,DTL,"(X=-76.000000,Y=115.704308,Z=30.000000)","(Pitch=0.000000,Yaw=-130.000000,Roll=0.000000)",,,0,,,,,,-76,115.704308,30,0,-130,0,,,,,,
TRUE,Sofas,Outdoor,,,front_fill_lgt,Background,F,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Outdoor,,,right_bounce_lgt,Background,F,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,0.5,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Outdoor,,,right_rim_lgt,Background,F,"(X=269.000000,Y=6.000000,Z=63.000000)","(Pitch=0.000000,Yaw=180.000000,Roll=0.000000)",,,0.3,,,,,,269,6,63,0,180,0,,,,,,
TRUE,Sofas,Outdoor,,,sun_lgt,KeyLight,F,"(X=0.000001,Y=72.498303,Z=110.031821)","(Pitch=-37.129369,Yaw=-40.014841,Roll=27.398011)",,,2,,,,,,0.000001,72.498303,110.031821,-37.129369,-40.014841,27.398011,,,,,,
TRUE,Sofas,Outdoor,,,sun_top_lgt,Background,F,"(X=-142.000000,Y=-18.000000,Z=341.000000)","(Pitch=-65.000000,Yaw=0.000000,Roll=0.000000)",,,5,,,,,,-142,-18,341,-65,0,0,,,,,,
TRUE,Sofas,Outdoor,,,SkyLight,Background,F,"(X=0.000000,Y=162.000000,Z=41.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)",,,0.5,,,,,,0,162,41,0,0,0,,,,,,
TRUE,Sofas,Outdoor,,,front_fill_lgt,Background,TQ,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Outdoor,,,right_bounce_lgt,Background,TQ,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,2,,,,,,220,280,150,0,-140,0,,,,,,
